L1,L2,L3,L4,L5,L9,Level,UPC,COLUPC,SY,GE,VEND,ITEM,*STUBSPEC 1844RC                                                         00004  ,VOL_EQ,PRODUCT TYPE,COLOR,SIZE,ADDITIVES,NUMBER OF PLY,TYPE OF DISPENSER,NUMBER OF SHEETS
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PAPER CORP.,ATLANTIC PAPER CORP.,PETALS,+PETLS WHT FCLTS 2PLY 250CT,9,00-01-54659-01250,15465901250,, 1,54659, 1250,        +PETLS WHT FCLTS 2PLY      250CT 0 1 54659  1250 1  1 2.5000RP   00047  ,2.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PAPER CORP.,ATLANTIC PAPER CORP.,SILKY TOUCH,+SLKTC WHT FCLTS 2PLY 95CT,9,00-03-54659-02600,35465902600,, 3,54659, 2600,        +SLKTC WHT FCLTS 2PLY       95CT 0 3 54659  2600 1  1 0.9500RP   00049  ,0.95,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PAPER CORP.,ATLANTIC PAPER CORP.,SILKY TOUCH,+SLKTC WHT FCLTS 2PLY 100CT,9,00-01-54659-37001,15465937001,, 1,54659,37001,        +SLKTC WHT FCLTS 2PLY      100CT 0 1 54659 37001 1  1 1.0000RP   00050  ,1,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PAPER CORP.,ATLANTIC PAPER CORP.,SILKY TOUCH,+SLKTC WHT FCLTS 2PLY 175CT,9,00-02-54659-05200,25465905200,, 2,54659, 5200,        +SLKTC WHT FCLTS 2PLY      175CT 0 2 54659  5200 1  1 1.7500RP   00051  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PAPER CORP.,ATLANTIC PAPER CORP.,SILKY TOUCH,+SLKTC WHT FCLTS 2PLY 175CT,9,00-01-54659-05200,15465905200,, 1,54659, 5200,        +SLKTC WHT FCLTS 2PLY      175CT 0 1 54659  5200 0= 1 1.7500RP   00052  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PAPER CORP.,ATLANTIC PAPER CORP.,SILKY TOUCH,+SLKTC WHT FCLTS 2PLY 250CT,9,00-01-54659-03124,15465903124,, 1,54659, 3124,        +SLKTC WHT FCLTS 2PLY      250CT 0 1 54659  3124 1  1 2.5000RP   00053  ,2.5,FACIAL TISSUE,WHITE,FAMILY,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PCKG PRODUCTS LTD,ATLANTIC PCKG PRODUCTS LTD,AMBIANCE,+AMBIA WHT FCLTS 2PLY 150CT,9,00-02-62336-57740,26233657740,, 2,62336,57740,        +AMBIA WHT FCLTS 2PLY      150CT 0 2 62336 57740 1  1 1.5000RP   00057  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,BRADSHAW INTL INC,BRADSHAW INTL INC,BRIGHT BUYS,+BRTBY WHT FCLTS 2PLY 30CT,9,00-01-76753-70634,17675370634,, 1,76753,70634,        +BRTBY WHT FCLTS 2PLY       30CT 0 1 76753 70634 1  1 0.3000RP   00061  ,0.3,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CASCADES TISSUE,CASCADES TISSUE,AMERICAN MERCANTILE,+ARMRC WHT FCLTS 2PLY 175CT,9,00-01-70524-04824,17052404824,, 1,70524, 4824,        +ARMRC WHT FCLTS 2PLY      175CT 0 1 70524  4824 1  1 1.7500RP   00065  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CASCADES TISSUE,CASCADES TISSUE,CAPRI,+CAPR2 WHT FCLTS 2PLY 175CT,9,00-01-70524-04944,17052404944,, 1,70524, 4944,        +CAPR2 WHT FCLTS 2PLY      175CT 0 1 70524  4944 1  1 1.7500RP   00067  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CASCADES TISSUE,CASCADES TISSUE,GENTLE TOUCH BY PERT,+GNLTC WHT FCLTS 2PLY 175CT,9,00-01-70524-04717,17052404717,, 1,70524, 4717,        +GNLTC WHT FCLTS 2PLY      175CT 0 1 70524  4717 1  1 1.7500RP   00069  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CHINACOST LLC,CHINACOST LLC,SOFT N WHITE,+STWH1 WHT FCLTS 2PLY 80CT,9,08-01-09929-16008,810992916008,8, 1, 9929,16008,        +STWH1 WHT FCLTS 2PLY       80CT 8 1  9929 16008 1  1 0.8000RP   00073  ,0.8,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 60CT,9,06-01-64891-37001,616489137001,6, 1,64891,37001,        +SNZRS WHT FCLTS 2PLY       60CT 6 1 64891 37001 1  1 0.6000RP   00077  ,0.6,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-01-64891-36841,616489136841,6, 1,64891,36841,        +SNZRS WHT FCLTS 2PLY       75CT 6 1 64891 36841 1  1 0.7500RP   00078  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,00-01-64891-36841,16489136841,, 1,64891,36841,        +SNZRS WHT FCLTS 2PLY       75CT 0 1 64891 36841 0= 1 0.7500RP   00079  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-01-64891-36842,616489136842,6, 1,64891,36842,        +SNZRS WHT FCLTS 2PLY       75CT 6 1 64891 36842 1  1 0.7500RP   00080  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-02-64891-36844,626489136844,6, 2,64891,36844,        +SNZRS WHT FCLTS 2PLY       75CT 6 2 64891 36844 1  1 0.7500RP   00081  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-01-64891-36844,616489136844,6, 1,64891,36844,        +SNZRS WHT FCLTS 2PLY       75CT 6 1 64891 36844 0= 1 0.7500RP   00082  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-02-64891-36845,626489136845,6, 2,64891,36845,        +SNZRS WHT FCLTS 2PLY       75CT 6 2 64891 36845 1  1 0.7500RP   00083  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-01-64891-36845,616489136845,6, 1,64891,36845,        +SNZRS WHT FCLTS 2PLY       75CT 6 1 64891 36845 0= 1 0.7500RP   00084  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-01-64891-36846,616489136846,6, 1,64891,36846,        +SNZRS WHT FCLTS 2PLY       75CT 6 1 64891 36846 1  1 0.7500RP   00085  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-01-64891-36848,616489136848,6, 1,64891,36848,        +SNZRS WHT FCLTS 2PLY       75CT 6 1 64891 36848 1  1 0.7500RP   00086  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 75CT,9,06-01-64891-40054,616489140054,6, 1,64891,40054,        +SNZRS WHT FCLTS 2PLY       75CT 6 1 64891 40054 1  1 0.7500RP   00087  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 2PLY 225CT,9,06-01-64891-36843,616489136843,6, 1,64891,36843,        +SNZRS WHT FCLTS 2PLY      225CT 6 1 64891 36843 1  1 2.2500RP   00088  ,2.25,FACIAL TISSUE,WHITE,VALUE PACK,NO ADDITIVES,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONSUMER LICENSING CORP,CONSUMER LICENSING CORP,SNEEZERS,+SNZRS WHT FCLTS 3PLY 10CT,9,06-01-64891-37000,616489137000,6, 1,64891,37000,        +SNZRS WHT FCLTS 3PLY       10CT 6 1 64891 37000 1  1 0.1000RP   00089  ,0.1,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 2PLY 10CT,9,00-01-41624-11892,14162411892,, 1,41624,11892,        +SNHNK PRINT FCLTS 2PLY     10CT 0 1 41624 11892 1  1 0.1000RP   00093  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10131,14162410131,, 1,41624,10131,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10131 1  1 0.1000RP   00094  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10132,14162410132,, 1,41624,10132,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10132 1  1 0.1000RP   00095  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10133,14162410133,, 1,41624,10133,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10133 1  1 0.1000RP   00096  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10134,14162410134,, 1,41624,10134,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10134 1  1 0.1000RP   00097  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10135,14162410135,, 1,41624,10135,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10135 1  1 0.1000RP   00098  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10136,14162410136,, 1,41624,10136,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10136 1  1 0.1000RP   00099  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10140,14162410140,, 1,41624,10140,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10140 1  1 0.1000RP   00100  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10141,14162410141,, 1,41624,10141,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10141 1  1 0.1000RP   00101  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10142,14162410142,, 1,41624,10142,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10142 1  1 0.1000RP   00102  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10182,14162410182,, 1,41624,10182,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10182 1  1 0.1000RP   00103  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10184,14162410184,, 1,41624,10184,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10184 1  1 0.1000RP   00104  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10187,14162410187,, 1,41624,10187,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10187 1  1 0.1000RP   00105  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10189,14162410189,, 1,41624,10189,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10189 1  1 0.1000RP   00106  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10193,14162410193,, 1,41624,10193,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10193 1  1 0.1000RP   00107  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10199,14162410199,, 1,41624,10199,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10199 1  1 0.1000RP   00108  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10221,14162410221,, 1,41624,10221,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10221 1  1 0.1000RP   00109  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10222,14162410222,, 1,41624,10222,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10222 1  1 0.1000RP   00110  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10223,14162410223,, 1,41624,10223,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10223 1  1 0.1000RP   00111  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10224,14162410224,, 1,41624,10224,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10224 1  1 0.1000RP   00112  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10225,14162410225,, 1,41624,10225,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10225 1  1 0.1000RP   00113  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10226,14162410226,, 1,41624,10226,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10226 1  1 0.1000RP   00114  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,CONVERTING INC,CONVERTING INC,SWANKIE HANKIES,+SNHNK PRINT FCLTS 3PLY 10CT,9,00-01-41624-10227,14162410227,, 1,41624,10227,        +SNHNK PRINT FCLTS 3PLY     10CT 0 1 41624 10227 1  1 0.1000RP   00115  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
