PANID,WEEK,UNITS,OUTLET,DOLLARS,IRI_KEY,COLUPC
1187989,1159,1,DR,2.99,8003043,13600025499
1190660,1143,1,DR,2.99,8003043,13600025499
1191239,1144,1,DR,2.99,8003043,13600025499
1191437,1144,1,DR,2.99,8003043,13600025499
1194837,1159,1,DR,2.99,8003043,13600025499
1198895,1159,2,DR,6.88,8003043,13600025499
1206342,1164,1,DR,2.99,8003043,13600025499
1207209,1159,1,DR,2.99,8003043,13600025499
1220376,1159,2,DR,5.98,8003043,13600025499
1220376,1163,3,DR,9.87,8003043,13600025499
1232025,1159,1,DR,2.99,8003043,13600025499
1301978,1159,1,DR,2.99,8003043,13600025499
1301978,1164,1,DR,2.99,8003043,13600025499
1305599,1144,1,DR,2.99,8003043,13600025499
1101238,1144,1,DR,2.99,8003059,13600025499
1124743,1159,1,DR,2.99,8046669,13600025499
1140145,1164,1,DR,2.99,8046669,13600025499
1189233,1159,1,DR,2.99,8046669,13600025499
1198168,1144,1,DR,2.99,8046669,13600025499
1212340,1164,1,DR,2.99,8046669,13600025499
1220376,1144,1,DR,2.99,8046669,13600025499
1228619,1164,1,DR,2.99,8046669,13600025499
1312983,1144,1,DR,2.99,8046669,13600025499
1312983,1159,1,DR,2.99,8046669,13600025499
1312983,1164,1,DR,2.99,8046669,13600025499
1802348,1164,1,DR,2.99,8046669,13600025499
1123604,1159,1,DR,2.99,642583,13600025499
3136176,1159,1,DR,2.99,651444,13600025499
3818534,1153,1,DR,2.99,651444,13600025499
1130963,1121,2,DR,2.98,8003043,13600026410
1130963,1129,2,DR,3.24,8003043,13600026410
1130963,1133,7,DR,10.71,8003043,13600026410
1130963,1142,3,DR,4.47,8003043,13600026410
1130963,1148,1,DR,1.49,8003043,13600026410
1130963,1151,2,DR,3.98,8003043,13600026410
1131383,1119,2,DR,3.74,8003043,13600026410
1133207,1121,1,DR,1.5,8003043,13600026410
1186346,1121,2,DR,2.98,8003043,13600026410
1202127,1116,1,DR,1.99,8003043,13600026410
1202127,1116,1,DR,1.99,8003043,13600026410
1202127,1128,2,DR,2.98,8003043,13600026410
1219519,1156,1,DR,1.99,8003043,13600026410
1303792,1128,1,DR,1.5,8003043,13600026410
1811794,1121,2,DR,2.98,8003043,13600026410
1130963,1128,3,DR,4.47,8003059,13600026410
1130963,1130,7,DR,10.5,8003059,13600026410
1130963,1135,6,DR,9,8003059,13600026410
1130963,1136,4,DR,6,8003059,13600026410
1130963,1139,8,DR,7.44,8003059,13600026410
1130963,1142,2,DR,3.24,8003059,13600026410
1130963,1141,2,DR,3.24,8046669,13600026410
3101170,1128,1,DR,1.99,651444,13600026410
3138909,1162,1,DR,1.99,651444,13600026410
3313304,1116,1,DR,1.5,651444,13600026410
3313304,1116,1,DR,1.5,651444,13600026410
3318097,1149,1,DR,1.99,651444,13600026410
3346627,1158,1,DR,1.99,651444,13600026410
3346627,1163,2,DR,3.98,651444,13600026410
3825182,1156,2,DR,3.98,651444,13600026410
1303453,1157,2,DR,1.98,8003042,13600026420
1223354,1157,1,DR,0.99,8000583,13600026420
1120964,1152,1,DR,0.99,8003043,13600029065
1123752,1149,1,DR,0.99,8003043,13600029065
1123752,1156,1,DR,0.99,8003043,13600029065
1145938,1152,1,DR,0.99,8003043,13600029065
1145938,1152,1,DR,0.99,8003043,13600029065
1186346,1146,1,DR,0.99,8003043,13600029065
1195248,1152,2,DR,2.38,8003043,13600029065
1212100,1156,1,DR,0.99,8003043,13600029065
1214668,1156,1,DR,0.99,8003043,13600029065
1219832,1150,1,DR,0.99,8003043,13600029065
1306860,1150,1,DR,0.99,8003043,13600029065
1401273,1157,1,DR,0.99,8003043,13600029065
1401927,1152,1,DR,0.99,8003043,13600029065
1805994,1150,2,DR,1.98,8003043,13600029065
3112151,1162,2,DR,3.58,651444,13600029065
3128066,1164,2,DR,1.98,651444,13600029065
3128066,1164,1,DR,0.99,651444,13600029065
3313163,1163,1,DR,1.79,651444,13600029065
3348979,1165,1,DR,1.79,651444,13600029065
3823120,1164,1,DR,1.79,651444,13600029065
3834739,1162,1,DR,1.79,651444,13600029065
1124537,1157,1,DR,0.99,642166,13600029065
1229641,1154,1,DR,1.49,8003042,13600029065
1229799,1157,3,DR,2.97,8003042,13600029065
1312736,1157,1,DR,0.99,650679,13600029065
1131789,1157,1,DR,0.99,8000583,13600029065
1223354,1157,1,DR,0.99,8000583,13600029065
3101055,1158,2,DR,3.58,651444,13600029075
3305318,1165,1,DR,1.79,651444,13600029075
3315820,1163,1,DR,1.79,651444,13600029075
3329037,1156,3,DR,2.97,651444,13600029075
3349365,1156,1,DR,0.99,651444,13600029075
3363762,1163,1,DR,1.79,651444,13600029075
3396879,1156,1,DR,0.99,651444,13600029075
1101626,1150,1,DR,0.99,8003043,13600029085
1101626,1157,2,DR,2.38,8003043,13600029085
1106229,1143,1,DR,0.99,8003043,13600029085
1147629,1157,1,DR,0.99,8003043,13600029085
1152660,1161,1,DR,0.99,8003043,13600029085
1186346,1162,1,DR,0.99,8003043,13600029085
1186858,1145,1,DR,0.99,8003043,13600029085
1186858,1149,1,DR,0.99,8003043,13600029085
1186858,1161,2,DR,1.98,8003043,13600029085
1191437,1149,2,DR,1.98,8003043,13600029085
1191437,1161,1,DR,0.99,8003043,13600029085
1219832,1146,2,DR,1.98,8003043,13600029085
1219832,1146,3,DR,1.98,8003043,13600029085
1247122,1146,2,DR,0.98,8003043,13600029085
1304469,1162,1,DR,0.99,8003043,13600029085
1304469,1162,1,DR,0.99,8003043,13600029085
1304469,1162,1,DR,0.99,8003043,13600029085
1805994,1157,3,DR,3.36,8003043,13600029085
1182873,1152,2,DR,1.98,8003059,13600029085
1304469,1152,2,DR,1.98,8003059,13600029085
1100503,1149,3,DR,3.36,8046669,13600029085
1115659,1161,2,DR,1.98,8046669,13600029085
1123422,1162,1,DR,0.99,8046669,13600029085
1219741,1162,2,DR,1.98,8046669,13600029085
1403170,1152,4,DR,3.96,8046669,13600029085
3313890,1148,1,DR,0.99,651444,13600029085
3347096,1156,1,DR,0.99,651444,13600029085
1101626,1157,1,DR,0.99,642166,13600029085
1121855,1157,1,DR,0.99,642166,13600029085
1127969,1157,2,DR,1.98,642166,13600029085
1195248,1164,1,DR,1.49,642166,13600029085
1245696,1163,1,DR,1.49,642166,13600029085
1301135,1157,2,DR,1.98,642166,13600029085
1315556,1152,1,DR,1.49,642166,13600029085
1800664,1158,6,DR,8.94,650679,13600029085
1102384,1162,1,DR,0.99,8003043,13600029145
1137273,1162,2,DR,1.98,8003043,13600029145
1143701,1146,3,DR,1.98,8003043,13600029145
1186346,1157,1,DR,0.99,8003043,13600029145
1198127,1157,3,DR,3.36,8003043,13600029145
1222786,1162,2,DR,1.98,8003043,13600029145
1223149,1146,2,DR,1.98,8003043,13600029145
1301978,1162,1,DR,0.99,8003043,13600029145
1302562,1157,2,DR,2.38,8003043,13600029145
1312116,1143,1,DR,0.99,8003043,13600029145
1314716,1162,2,DR,2.38,8003043,13600029145
1406090,1149,4,DR,2.96,8003043,13600029145
1406652,1143,3,DR,1.98,8003043,13600029145
1406967,1146,1,DR,0.99,8003043,13600029145
1128264,1157,5,DR,4.95,8003059,13600029145
1121855,1157,2,DR,1.98,642166,13600029145
1313403,1157,5,DR,4.95,642166,13600029145
1195057,1157,1,DR,0.99,8003042,13600029145
1229799,1157,1,DR,0.99,8003042,13600029145
1128736,1158,1,DR,1.49,8000583,13600029145
1139519,1157,1,DR,0.99,8000583,13600029145
1223354,1157,2,DR,1.98,8000583,13600029145
1108829,1162,1,DR,0.99,8003043,13600029160
1114975,1157,1,DR,0.99,8003043,13600029160
1115378,1162,1,DR,0.99,8003043,13600029160
1131102,1155,2,DR,2.34,8003043,13600029160
1184374,1157,4,DR,4.32,8003043,13600029160
1186858,1156,1,DR,0.99,8003043,13600029160
1189910,1162,2,DR,2.34,8003043,13600029160
1191239,1156,2,DR,1.98,8003043,13600029160
1191239,1157,3,DR,3.33,8003043,13600029160
1219741,1143,2,DR,1.98,8003043,13600029160
1222786,1155,1,DR,0.99,8003043,13600029160
1228619,1142,1,DR,0.99,8003043,13600029160
1232256,1143,2,DR,1.98,8003043,13600029160
1232256,1155,2,DR,2.34,8003043,13600029160
1305060,1157,2,DR,1.98,8003043,13600029160
1306720,1161,3,DR,3.33,8003043,13600029160
1310987,1157,1,DR,0.99,8003043,13600029160
1314716,1156,1,DR,0.99,8003043,13600029160
1406967,1157,1,DR,0.99,8003043,13600029160
1809947,1164,1,DR,1.53,8003043,13600029160
1123752,1150,1,DR,0.99,8003059,13600029160
1144675,1158,1,DR,1.53,8003059,13600029160
1154179,1155,3,DR,2.97,8003059,13600029160
1154179,1160,6,DR,5.94,8003059,13600029160
1201525,1145,1,DR,0.99,8003059,13600029160
1201525,1157,2,DR,1.98,8003059,13600029160
1307868,1149,1,DR,0.99,8003059,13600029160
1307868,1149,1,DR,0.99,8003059,13600029160
1316240,1146,1,DR,0.99,8003059,13600029160
1811794,1162,6,DR,5.94,8003059,13600029160
1115659,1161,1,DR,0.99,8046669,13600029160
1123422,1157,2,DR,2.34,8046669,13600029160
1123422,1162,1,DR,0.99,8046669,13600029160
1145599,1150,2,DR,1.98,8046669,13600029160
1213405,1143,5,DR,3.95,8046669,13600029160
1220376,1161,3,DR,2.97,8046669,13600029160
1228619,1150,3,DR,2.97,8046669,13600029160
1228619,1157,3,DR,2.97,8046669,13600029160
1301234,1143,1,DR,0.99,8046669,13600029160
1302562,1152,1,DR,0.99,8046669,13600029160
1303024,1150,1,DR,0.99,8046669,13600029160
1304139,1152,2,DR,2.34,8046669,13600029160
1312983,1154,4,DR,3.96,8046669,13600029160
1312983,1157,1,DR,0.99,8046669,13600029160
1807578,1157,1,DR,0.99,8046669,13600029160
3129411,1157,1,DR,1.29,651444,13600029160
3302919,1162,1,DR,1.29,651444,13600029160
3309443,1150,1,DR,1.29,651444,13600029160
3311886,1143,3,DR,3,651444,13600029160
3313163,1163,1,DR,1.29,651444,13600029160
3315820,1156,1,DR,0.99,651444,13600029160
3316232,1163,1,DR,1.29,651444,13600029160
3327015,1163,1,DR,0.95,651444,13600029160
3345215,1154,1,DR,1.29,651444,13600029160
3345215,1154,1,DR,1.29,651444,13600029160
3346627,1158,2,DR,2.58,651444,13600029160
3373365,1163,2,DR,2.58,651444,13600029160
3376590,1163,2,DR,2.58,651444,13600029160
3376590,1163,1,DR,1.29,651444,13600029160
3377077,1163,2,DR,2.58,651444,13600029160
3801381,1156,2,DR,1.98,651444,13600029160
3821991,1156,1,DR,1.29,651444,13600029160
3842278,1147,1,DR,0.99,651444,13600029160
1107557,1147,1,DR,1.49,642166,13600029160
1143701,1157,5,DR,4.95,8000583,13600029160
1180034,1157,1,DR,0.99,8000583,13600029160
1809632,1157,5,DR,4.95,8000583,13600029160
1111542,1158,3,DR,1.98,8003043,13600029165
1247122,1158,1,DR,0.99,8003043,13600029165
1314716,1157,1,DR,0.99,8003043,13600029165
1307868,1157,1,DR,0.99,8003059,13600029165
1408740,1157,3,DR,2.97,8003059,13600029165
1805887,1157,4,DR,3.96,8003059,13600029165
1302356,1162,1,DR,1.15,8046669,13600029165
1100164,1146,1,DR,0.99,8003043,13600029169
1101626,1157,1,DR,0.99,8003043,13600029169
1112003,1152,1,DR,0.99,8003043,13600029169
1128496,1157,1,DR,0.99,8003043,13600029169
1137273,1152,2,DR,1.98,8003043,13600029169
1137273,1155,2,DR,1.98,8003043,13600029169
1145938,1152,1,DR,0.99,8003043,13600029169
1180273,1152,1,DR,0.99,8003043,13600029169
1186346,1146,1,DR,0.99,8003043,13600029169
1186346,1162,1,DR,0.99,8003043,13600029169
1186858,1145,2,DR,0.98,8003043,13600029169
1186858,1149,1,DR,0.99,8003043,13600029169
1186858,1152,2,DR,2.28,8003043,13600029169
1186858,1157,1,DR,0.99,8003043,13600029169
1191239,1142,2,DR,0.98,8003043,13600029169
1191239,1149,1,DR,0.99,8003043,13600029169
1191239,1162,1,DR,0.99,8003043,13600029169
1194837,1143,3,DR,2.97,8003043,13600029169
1200436,1149,1,DR,0.99,8003043,13600029169
1205732,1149,1,DR,0.99,8003043,13600029169
1215459,1146,1,DR,0.99,8003043,13600029169
1219832,1152,1,DR,0.99,8003043,13600029169
1222786,1155,1,DR,0.99,8003043,13600029169
1223149,1146,1,DR,0.99,8003043,13600029169
1230813,1161,2,DR,1.98,8003043,13600029169
1311308,1143,1,DR,0.99,8003043,13600029169
1311308,1146,1,DR,0.99,8003043,13600029169
1311308,1162,2,DR,1.98,8003043,13600029169
1313908,1152,1,DR,0.99,8003043,13600029169
1318485,1157,1,DR,0.99,8003043,13600029169
1320044,1154,2,DR,2.82,8003043,13600029169
1406967,1157,1,DR,0.99,8003043,13600029169
1816264,1162,1,DR,0.99,8003043,13600029169
1186858,1157,2,DR,2.28,8003059,13600029169
1197178,1154,1,DR,0.99,8003059,13600029169
1215608,1154,4,DR,4.24,8003059,13600029169
1307868,1151,2,DR,1.98,8003059,13600029169
1316240,1146,1,DR,0.99,8003059,13600029169
1115659,1156,3,DR,2.97,8046669,13600029169
1123422,1157,1,DR,0.99,8046669,13600029169
1124743,1145,2,DR,0.98,8046669,13600029169
1186858,1157,1,DR,0.99,8046669,13600029169
1807578,1150,3,DR,3.27,8046669,13600029169
1807578,1157,1,DR,0.99,8046669,13600029169
3105502,1148,1,DR,0.99,651444,13600029169
3126557,1160,2,DR,2.58,651444,13600029169
3127159,1162,1,DR,1.29,651444,13600029169
3302919,1162,2,DR,2.58,651444,13600029169
3304121,1163,3,DR,3.87,651444,13600029169
3313163,1163,1,DR,1.29,651444,13600029169
3315820,1163,1,DR,1.29,651444,13600029169
3343996,1142,2,DR,2,651444,13600029169
3377499,1155,4,DR,3.96,651444,13600029169
3801381,1156,1,DR,0.99,651444,13600029169
3817205,1148,2,DR,1.98,651444,13600029169
1219642,1158,1,DR,1.49,8003042,13600029169
1138941,1157,1,DR,0.99,650679,13600029169
3308593,1146,1,DR,1.79,651444,13600029200
3343996,1142,2,DR,2,651444,13600029200
1121855,1117,1,DR,1.09,8003043,13600029210
1122242,1130,2,DR,2.22,8003043,13600029210
1181677,1117,1,DR,1.09,8003043,13600029210
1200691,1140,1,DR,1.53,8003043,13600029210
1206342,1130,1,DR,0.99,8003043,13600029210
1220467,1138,1,DR,0.99,8003043,13600029210
1245696,1125,1,DR,0.99,8003043,13600029210
1187773,1147,1,DR,1.53,8003059,13600029210
1116608,1152,2,DR,2.98,642166,13600029210
1212555,1132,1,DR,1.49,642166,13600029210
1313403,1133,4,DR,3.96,642166,13600029210
1313403,1133,1,DR,0.99,642166,13600029210
1313403,1136,2,DR,1.98,642166,13600029210
1313403,1136,1,DR,0.99,642166,13600029210
1313403,1136,1,DR,0.99,642166,13600029210
1809814,1123,1,DR,1.49,642166,13600029210
1126763,1137,3,DR,2.97,8003042,13600029210
1137422,1139,1,DR,1.49,8003042,13600029210
1195057,1157,1,DR,0.99,8003042,13600029210
1218271,1137,2,DR,1.98,8003042,13600029210
1302182,1156,3,DR,2.97,8003042,13600029210
1303453,1157,2,DR,1.98,8003042,13600029210
1308387,1137,1,DR,0.99,8003042,13600029210
1138941,1157,1,DR,0.99,650679,13600029210
1186346,1157,1,DR,0.99,650679,13600029210
1400754,1133,1,DR,0.99,650679,13600029210
1400754,1133,2,DR,1.98,650679,13600029210
1400754,1133,2,DR,1.98,650679,13600029210
1400754,1133,1,DR,0.99,650679,13600029210
1400754,1133,1,DR,0.99,650679,13600029210
1230813,1154,1,DR,1.49,8000583,13600029210
1217539,1155,1,DR,1.99,8046669,13600029230
3841684,1164,1,DR,1.89,651444,13600029230
1101238,1145,3,DR,3.99,642166,13600029230
1227785,1153,2,DR,3.98,642166,13600029230
1194266,1161,2,DR,3,8003042,13600029230
1198366,1160,2,DR,3,8003042,13600029230
1245894,1159,1,DR,1.99,8003042,13600029230
1138941,1161,2,DR,3,650679,13600029230
1144709,1164,2,DR,3,650679,13600029230
1191643,1164,1,DR,1.5,650679,13600029230
1106229,1159,1,DR,1.63,8003043,13700031680
1228619,1141,2,DR,2.98,8003043,13700031680
1309815,1131,1,DR,1.79,8003043,13700031680
1401927,1141,2,DR,2.98,8003043,13700031680
1401927,1147,1,DR,1.63,8003043,13700031680
3101105,1164,2,DR,3.38,651444,13700031680
3103333,1164,3,DR,5.07,651444,13700031680
3131151,1163,2,DR,3.38,651444,13700031680
3304071,1164,1,DR,1.69,651444,13700031680
3311720,1117,2,DR,3.58,651444,13700031680
3311720,1117,1,DR,1.79,651444,13700031680
3342345,1164,2,DR,3.38,651444,13700031680
3355461,1158,1,DR,1.69,651444,13700031680
3801233,1164,1,DR,1.05,651444,13700031680
3801233,1164,1,DR,1.05,651444,13700031680
3801233,1164,1,DR,1.05,651444,13700031680
1100412,1146,1,DR,1.59,642166,13700031680
1190660,1122,2,DR,2,642166,13700031680
1196220,1130,1,DR,1.79,642166,13700031680
1226670,1160,2,DR,3.18,642166,13700031680
1228841,1122,1,DR,1,642166,13700031680
1247122,1122,2,DR,2,642166,13700031680
1406819,1121,1,DR,1,642166,13700031680
1406819,1165,1,DR,0.99,642166,13700031680
1132795,1117,2,DR,1.98,8003042,13700031680
1145201,1150,1,DR,1.59,8003042,13700031680
1228619,1117,1,DR,0.99,8003042,13700031680
1228619,1122,2,DR,2,8003042,13700031680
1317891,1118,3,DR,2.97,8003042,13700031680
1142620,1136,1,DR,1.79,650679,13700031680
1181214,1118,2,DR,1.98,650679,13700031680
1181214,1122,2,DR,2,650679,13700031680
1215251,1118,2,DR,1.98,650679,13700031680
1311852,1118,1,DR,0.99,650679,13700031680
1402073,1160,1,DR,1.59,650679,13700031680
1123752,1117,1,DR,0.99,8000583,13700031680
1143735,1118,3,DR,2.97,8000583,13700031680
1181214,1118,1,DR,0.99,8000583,13700031680
1181602,1118,6,DR,5.94,8000583,13700031680
1181602,1165,3,DR,2.97,8000583,13700031680
1198408,1122,4,DR,4,8000583,13700031680
1226704,1117,1,DR,0.99,8000583,13700031680
1246470,1165,1,DR,0.99,8000583,13700031680
1806885,1122,4,DR,4,8000583,13700031680
1112003,1156,1,DR,0.99,8003043,13700032667
1185801,1121,1,DR,1,650679,13700032667
3139402,1154,3,DR,3.87,651444,13700033547
3302091,1163,1,DR,1.29,651444,13700033547
3302893,1119,1,DR,0.89,651444,13700033547
3304071,1119,2,DR,1.78,651444,13700033547
3309633,1154,2,DR,2.58,651444,13700033547
3312124,1165,2,DR,2.58,651444,13700033547
3314013,1165,2,DR,2.58,651444,13700033547
3317016,1165,2,DR,2.58,651444,13700033547
3317867,1165,1,DR,0.51,651444,13700033547
3317867,1165,1,DR,0.51,651444,13700033547
3318626,1165,2,DR,2.58,651444,13700033547
3327015,1119,1,DR,0.89,651444,13700033547
3330019,1165,2,DR,2.58,651444,13700033547
3333278,1165,2,DR,2.58,651444,13700033547
3339697,1119,2,DR,1.78,651444,13700033547
3342345,1154,3,DR,3.87,651444,13700033547
3348888,1154,3,DR,3.87,651444,13700033547
3349761,1156,2,DR,1.58,651444,13700033547
3349761,1165,2,DR,2.58,651444,13700033547
3352930,1154,2,DR,2.58,651444,13700033547
3354357,1165,2,DR,2.58,651444,13700033547
3392621,1165,2,DR,2.58,651444,13700033547
3395616,1154,1,DR,1.29,651444,13700033547
3817031,1123,12,DR,16.68,651444,13700033547
3842278,1154,2,DR,2.58,651444,13700033547
3842278,1156,2,DR,1.58,651444,13700033547
1140699,1122,2,DR,2,642166,13700033547
1210203,1157,1,DR,1.59,642166,13700033547
1304717,1122,1,DR,1,642166,13700033547
1313403,1122,3,DR,3,642166,13700033547
1313403,1122,1,DR,1,642166,13700033547
1806950,1122,1,DR,1,642166,13700033547
1186346,1122,2,DR,2,8003042,13700033547
1199455,1165,2,DR,1.98,8003042,13700033547
1207662,1118,1,DR,1.79,8003042,13700033547
1219642,1157,1,DR,1.59,8003042,13700033547
1112425,1121,1,DR,1.79,650679,13700033547
1112425,1122,1,DR,1.79,650679,13700033547
1185801,1121,1,DR,1,650679,13700033547
1215251,1122,2,DR,2,650679,13700033547
1198606,1118,1,DR,1.79,8000583,13700033547
1203356,1159,1,DR,1.59,8000583,13700033547
1806885,1122,2,DR,2,8000583,13700033547
3835967,1161,1,DR,1.29,1091828,13700033547
3835967,1161,1,DR,1.29,1091828,13700033547
1108043,1118,2,DR,1.86,8003043,13700033549
1108043,1118,1,DR,0.93,8003043,13700033549
1132746,1131,5,DR,6.95,8046669,13700033549
1133181,1140,2,DR,3,8046669,13700033549
1203364,1165,1,DR,1.85,8046669,13700033549
1223677,1127,1,DR,1.99,8046669,13700033549
1223677,1136,2,DR,3.98,8046669,13700033549
3126557,1160,1,DR,1.99,651444,13700033549
3130401,1147,2,DR,3,651444,13700033549
3301242,1159,1,DR,1.99,651444,13700033549
3317602,1125,2,DR,3,651444,13700033549
3324145,1156,1,DR,1.99,651444,13700033549
3335810,1147,2,DR,2.54,651444,13700033549
3337030,1151,2,DR,3.98,651444,13700033549
3346817,1146,2,DR,3,651444,13700033549
3348888,1161,2,DR,3.98,651444,13700033549
3349761,1114,1,DR,1.99,651444,13700033549
3353490,1163,1,DR,1.99,651444,13700033549
3373365,1141,2,DR,3,651444,13700033549
3827865,1157,1,DR,1.99,651444,13700033549
1124727,1129,6,DR,9,642166,13700033549
1310698,1160,1,DR,1.99,642166,13700033549
1313403,1129,2,DR,3,642166,13700033549
1313403,1142,1,DR,1.99,642166,13700033549
1313403,1142,1,DR,1.99,642166,13700033549
1219642,1145,1,DR,1.99,8003042,13700033549
1401877,1153,1,DR,1.99,8003042,13700033549
1215251,1141,2,DR,3,650679,13700033549
1222786,1155,1,DR,1.99,650679,13700033549
1229799,1129,1,DR,1.5,650679,13700033549
1128736,1157,1,DR,1.99,8000583,13700033549
1198119,1164,1,DR,1.99,8000583,13700033549
1198606,1154,1,DR,1.99,8000583,13700033549
1198606,1163,1,DR,1.99,8000583,13700033549
1305797,1163,1,DR,1.99,8000583,13700033549
1802280,1126,1,DR,2.09,8000583,13700033549
3314419,1115,1,DR,2.39,651444,13700062501
3817494,1125,1,DR,2.39,651444,13700062501
3817528,1123,1,DR,2.39,651444,13700062501
1223354,1121,1,DR,1.49,650679,15400085130
1232397,1122,1,DR,1.49,650679,15400085130
1190660,1162,2,DR,1.98,642166,16343587720
1194837,1161,1,DR,0.99,642166,16343587720
1313403,1158,4,DR,3.96,642166,16343587720
1216085,1159,1,DR,0.99,650679,16343587720
1216085,1161,1,DR,0.99,650679,16343587720
1800664,1159,1,DR,0.99,650679,16343587720
1105775,1115,1,DR,2.99,8003043,23600025253
1131383,1115,1,DR,2.99,8003043,23600025253
1186858,1115,1,DR,2.99,8003043,23600025253
1187443,1115,1,DR,2.99,8003043,23600025253
1190900,1115,1,DR,2.99,8003043,23600025253
1193441,1115,1,DR,2.99,8003043,23600025253
1217091,1115,1,DR,2.99,8003043,23600025253
1310995,1115,1,DR,2.99,8003043,23600025253
1320317,1115,1,DR,2.99,8003043,23600025253
1100032,1115,1,DR,2.99,8003059,23600025253
1123604,1114,1,DR,2.99,8003059,23600025253
1186981,1115,1,DR,2.99,8003059,23600025253
1207530,1114,1,DR,2.99,8003059,23600025253
1307868,1114,1,DR,2.99,8003059,23600025253
1123422,1114,2,DR,5.98,8046669,23600025253
1124792,1114,2,DR,5.98,8046669,23600025253
1206797,1114,1,DR,2.99,8046669,23600025253
1228619,1115,1,DR,2.99,8046669,23600025253
1303461,1114,1,DR,2.99,8046669,23600025253
1400473,1114,1,DR,2.99,8046669,23600025253
1123604,1114,1,DR,3.99,642583,23600025253
3322107,1150,1,DR,4.29,651444,23600025253
3346817,1152,1,DR,2.99,651444,23600025253
3318097,1149,2,DR,1.98,651444,23600025390
3343335,1142,1,DR,0.55,651444,23600025390
3351668,1162,1,DR,0.55,651444,23600025390
1190660,1114,1,DR,3.99,8003043,23600025475
1182873,1115,1,DR,2.99,8003059,23600025475
3321679,1123,1,DR,1.49,8029341,23600026200
3110395,1127,1,DR,1.79,651444,23600026400
3318097,1149,1,DR,1.79,651444,23600026400
1227785,1133,2,DR,1.98,8003042,23600026400
1142620,1119,1,DR,1.49,650679,23600026400
1142620,1121,1,DR,1.49,650679,23600026400
1189597,1148,1,DR,1.49,650679,23600026400
1128736,1150,1,DR,1.49,8000583,23600026400
1245001,1116,2,DR,2.98,8000583,23600026400
1316075,1118,1,DR,1.49,8000583,23600026400
1408740,1118,2,DR,2.98,8000583,23600026400
1108829,1160,2,DR,2.72,8003043,23600026470
1112003,1155,1,DR,0.99,8003043,23600026470
1121517,1125,1,DR,0.99,8003043,23600026470
1143263,1126,1,DR,1.53,8003043,23600026470
